State,Count
AK,11750
AL,7995
AR,6900
AZ,6996
CA,7500
CO,10000
CT,5000
DC,3000
DE,5000
FL,6500
GA,6500
HI,14000
IA,7295
ID,9522
IL,5700
IN,5421
KS,6500
KY,6500
LA,6000
MA,5950
MD,5600
ME,5495
MI,6500
MN,7748
MO,8600
MS,6988
MT,8900
NC,7500
ND,7500
NE,8950
NH,7499
NJ,5300
NM,5500
NV,5995
NY,5800
OH,5500
OK,10485
OR,8995
PA,4999
RI,5000
SC,6850
SD,8700
TN,7200
TX,7000
UT,6500
VA,6699
VT,5500
WA,12998
WI,6990
WV,4500
WY,7900
